Region,Location,Coordinates
Australia Meridional,Adelaide," (-34.9285, 138.6007)"
Queensland,Albany," (-35.0275, 117.8847)"
Nueva Gales del Sur,Albury," (-36.0737, 146.9135)"
Territorio del Norte,AliceSprings," (-23.6980, 133.8807)"
Nueva Gales del Sur,BadgerysCreek," (-33.9209, 150.7738)"
Victoria,Ballarat," (-37.5622, 143.8503)"
Victoria,Bendigo," (-36.7570, 144.2794)"
Queensland,Brisbane," (-27.4698, 153.0251)"
Queensland,Cairns," (-16.9186, 145.7781)"
Territorio de la Capital,Canberra," (-35.2809, 149.1300)"
Nueva Gales del Sur,Cobar," (-31.4996, 145.8380)"
Nueva Gales del Sur,CoffsHarbour," (-30.2986, 153.1094)"
Victoria,Dartmoor," (-38.0806, 141.2714)"
Territorio del Norte,Darwin," (-12.4634, 130.8456)"
Queensland,GoldCoast," (-28.0167, 153.4000)"
Tasmania,Hobart," (-42.8821, 147.3272)"
Territorio del Norte,Katherine," (-14.4650, 132.2635)"
Tasmania,Launceston," (-41.4298, 147.1576)"
Victoria,Melbourne," (-37.8136, 144.9631)"
Victoria,MelbourneAirport," (-37.6690, 144.8410)"
Victoria,Mildura," (-34.2086, 142.1310)"
Nueva Gales del Sur,Moree," (-29.4639, 149.8456)"
Australia Meridional,MountGambier," (-37.8310, 140.7796)"
Territorio de la Capital,MountGinini," (-35.5292, 148.7723)"
Nueva Gales del Sur,Newcastle," (-32.9283, 151.7817)"
Victoria,Nhil," (-36.3333, 141.6500)"
Nueva Gales del Sur,NorahHead," (-33.2820, 151.5676)"
Nueva Gales del Sur,NorfolkIsland," (-29.0408, 167.9547)"
Australia Meridional,Nuriootpa," (-34.4700, 138.9967)"
Australia Occidental,PearceRAAF," (-31.6671, 116.0147)"
Nueva Gales del Sur,Penrith," (-33.7510, 150.7039)"
Australia Occidental,Perth," (-31.9505, 115.8605)"
Australia Occidental,PerthAirport," (-31.9403, 115.9667)"
Victoria,Portland," (-38.3478, 141.6051)"
Victoria,Richmond," (-33.6000, 150.7760)"
Victoria,Sale," (-38.1065, 147.0733)"
Australia Occidental,SalmonGums," (-32.9735, 121.6365)"
Nueva Gales del Sur,Sydney," (-33.8688, 151.2093)"
Nueva Gales del Sur,SydneyAirport," (-33.9399, 151.1753)"
Queensland,Townsville," (-19.2590, 146.8169)"
Territorio de la Capital,Tuggeranong," (-35.4150, 149.0670)"
Territorio del Norte,Uluru," (-25.3444, 131.0369)"
Nueva Gales del Sur,WaggaWagga," (-35.1189, 147.3699)"
Australia Occidental,Walpole," (-34.9784, 116.7331)"
Victoria,Watsonia," (-37.7016, 145.0800)"
Nueva Gales del Sur,Williamtown," (-32.7942, 151.8345)"
Australia Occidental,Witchcliffe," (-34.0150, 115.1000)"
Nueva Gales del Sur,Wollongong," (-34.4278, 150.8931)"
Australia Meridional,Woomera," (-31.1989, 136.8255)"
